830,Weekly Forecast,SenderID:,ZZ:F159B,ReceiverID:,ZZ:GUEUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interchange Control Num,Message Release Num,Message Release Date,Message Purpose,Schedule Type,Horizon Start Date,Horizon End Date,Comment Note,Ship To GSDB Code,Ship From GSDB Code,Intermediate Consignee,Part Num,Purchase Order Num,Part Release Status,Dock Code,Line Feed,Reserve Line Feed,Contact Name,Contact Telephone,Fab Auth Qty,Fab Auth Start Date,Fab Auth End Date,Mat Auth Qty,Mat Auth Start Date,Mat Auth End Date,Last Received ASN Num,Last Shipped Qty,Last Shipped Date,Cum Shipped Qty,Cum Start Date,Cum End Date,Forecast Cum Qty,Forecast Net Qty,UOM,Forecast Status,Forecast Date,Flexible Forcast Start Date,Flexible Forcast End Date,Forecast Date Qual'r
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,11121-62KA-Z000,SGVYAT,,,,,CHU,4604201,30800,20250101,20250511,42280,20250101,20250622,2504000027,420,20250408,24920,20250101,20250408,72380,0,EA,P,20251020,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,11121-62KA-Z000-MC,SGVYAT,,,,,CHU,4604201,30800,20250101,20250511,42280,20250101,20250622,2504000027,420,20250408,24920,20250101,20250408,72380,0,EA,P,20251027,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,11121-62KA-Z000-WS,SGVYAT,,,,,CHU,4604201,30800,20250101,20250511,42280,20250101,20250622,2504000027,420,20250408,24920,20250101,20250408,73220,840,EA,P,20251103,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,11121XZ1CZ000Z1-10,SGVYAT,,,,,CHU,4604201,30800,20250101,20250511,42280,20250101,20250622,2504000027,420,20250408,24920,20250101,20250408,75460,2240,EA,P,20251110,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,11122-62KA-Z000,SGVYAT,,,,,CHU,4604201,30800,20250101,20250511,42280,20250101,20250622,2504000027,420,20250408,24920,20250101,20250408,77420,1960,EA,P,20251117,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,11122-62KA-Z000-MC,SGVYAT,,,,,CHU,4604201,30800,20250101,20250511,42280,20250101,20250622,2504000027,420,20250408,24920,20250101,20250408,79520,2100,EA,P,20251124,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,11122-62KA-Z000-WS,SGVYAT,,,,,CHU,4604201,30800,20250101,20250511,42280,20250101,20250622,2504000027,420,20250408,24920,20250101,20250408,81760,2240,EA,P,20251201,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,11122XZ1CZ000Z1-10,SGVYAT,,,,,CHU,4604201,30800,20250101,20250511,42280,20250101,20250622,2504000027,420,20250408,24920,20250101,20250408,84980,3220,EA,P,20251208,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,11123-62KA-Z000,SGVYAT,,,,,CHU,4604201,30800,20250101,20250511,42280,20250101,20250622,2504000027,420,20250408,24920,20250101,20250408,86520,1540,EA,P,20251215,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,11123-62KA-Z000-MC,SGVYAT,,,,,CHU,4604201,30800,20250101,20250511,42280,20250101,20250622,2504000027,420,20250408,24920,20250101,20250408,86520,0,EA,P,20251222,,,W
