862,Shipping Schedule,SenderID:,ZZ:F159B,ReceiverID:,ZZ:GUEUB,,,,,,,,,,,,,,,,,,,,,,,,
Interchange Control Num,Message Release Num,Message Release Date,Message Purpose,Schedule Type,Horizon Start Date,Horizon End Date,Message Reference Num,Ship To GSDB Code,Ship From GSDB Code,Intermediate Consignee,Part Num,Purchase Order Num,Dock Code,Line Feed,Reserve Line Feed,Contact Name,Contact Telephone,Last Received ASN Num,Last Shipped Qty,Last Shipped Date,Cum Shipped Qty,Cum Start Date,Cum End Date,Forecast Cum Qty,Forecast Net Qty,UOM,Forecast Status,Forecast Date,Forecast Time
26320,942-31A,20250623,5,Ship,20250623,20250706,2.52E+11,GK0VH,GUEUB,,11121-62KA-Z000,SGWFF8,TP,,,CHULEEPORN,4604201,2506000041,504,20250617,19488,20250101,20250617,19488,0,EA,F,20250623,
26320,942-31A,20250623,5,Ship,20250623,20250706,2.52E+11,GK0VH,GUEUB,,11121-62KA-Z000-MC,SGWFF8,TP,,,CHULEEPORN,4604201,2506000041,504,20250617,19488,20250101,20250617,19488,0,EA,F,20250624,
26320,942-31A,20250623,5,Ship,20250623,20250706,2.52E+11,GK0VH,GUEUB,,11121-62KA-Z000-WS,SGWFF8,TP,,,CHULEEPORN,4604201,2506000041,504,20250617,19488,20250101,20250617,19488,0,EA,F,20250625,
26320,942-31A,20250623,5,Ship,20250623,20250706,2.52E+11,GK0VH,GUEUB,,11121XZ1CZ000Z1-10,SGWFF8,TP,,,CHULEEPORN,4604201,2506000041,504,20250617,19488,20250101,20250617,19488,0,EA,F,20250626,
26320,942-31A,20250623,5,Ship,20250623,20250706,2.52E+11,GK0VH,GUEUB,,11122-62KA-Z000,SGWFF8,TP,,,CHULEEPORN,4604201,2506000041,504,20250617,19488,20250101,20250617,19488,0,EA,F,20250627,
26320,942-31A,20250623,5,Ship,20250623,20250706,2.52E+11,GK0VH,GUEUB,,11122-62KA-Z000-MC,SGWFF8,TP,,,CHULEEPORN,4604201,2506000041,504,20250617,19488,20250101,20250617,19488,0,EA,F,20250628,
26320,942-31A,20250623,5,Ship,20250623,20250706,2.52E+11,GK0VH,GUEUB,,11122-62KA-Z000-WS,SGWFF8,TP,,,CHULEEPORN,4604201,2506000041,504,20250617,19488,20250101,20250617,19488,0,EA,F,20250629,
26320,942-31A,20250623,5,Ship,20250623,20250706,2.52E+11,GK0VH,GUEUB,,11122XZ1CZ000Z1-10,SGWFF8,TP,,,CHULEEPORN,4604201,2506000041,504,20250617,19488,20250101,20250617,19488,0,EA,F,20250630,
26320,942-31A,20250623,5,Ship,20250623,20250706,2.52E+11,GK0VH,GUEUB,,11123-62KA-Z000,SGWFF8,TP,,,CHULEEPORN,4604201,2506000041,504,20250617,19488,20250101,20250617,20664,1176,EA,F,20250701,
26320,942-31A,20250623,5,Ship,20250623,20250706,2.52E+11,GK0VH,GUEUB,,11123-62KA-Z000-MC,SGWFF8,TP,,,CHULEEPORN,4604201,2506000041,504,20250617,19488,20250101,20250617,20664,0,EA,F,20250702,
26320,942-31A,20250623,5,Ship,20250623,20250706,2.52E+11,GK0VH,GUEUB,,11123-62KA-Z000-WS,SGWFF8,TP,,,CHULEEPORN,4604201,2506000041,504,20250617,19488,20250101,20250617,20664,0,EA,F,20250703,
26320,942-31A,20250623,5,Ship,20250623,20250706,2.52E+11,GK0VH,GUEUB,,11123XZ1CZ000Z1-10,SGWFF8,TP,,,CHULEEPORN,4604201,2506000041,504,20250617,19488,20250101,20250617,20664,0,EA,F,20250704,
26320,942-31A,20250623,5,Ship,20250623,20250706,2.52E+11,GK0VH,GUEUB,,11124-62KA-Z000,SGWFF8,TP,,,CHULEEPORN,4604201,2506000041,504,20250617,19488,20250101,20250617,20664,0,EA,F,20250705,
26320,942-31A,20250623,5,Ship,20250623,20250706,2.52E+11,GK0VH,GUEUB,,11124-62KA-Z000-MC,SGWFF8,TP,,,CHULEEPORN,4604201,2506000041,504,20250617,19488,20250101,20250617,20664,0,EA,F,20250706,
26320,942-31A,20250623,5,Ship,20250623,20250706,2.52E+11,GK0VH,GUEUB,,11124-62KA-Z000-WS,SGWFF9,TP,,,CHULEEPORN,4604201,2506000048,240,20250619,3480,20250101,20250619,3360,-120,EA,F,20250623,
26320,942-31A,20250623,5,Ship,20250623,20250706,2.52E+11,GK0VH,GUEUB,,11124XZ1CZ000Z1-10,SGWFF9,TP,,,CHULEEPORN,4604201,2506000048,240,20250619,3480,20250101,20250619,3600,120,EA,F,20250624,
26320,942-31A,20250623,5,Ship,20250623,20250706,2.52E+11,GK0VH,GUEUB,,1112A-62K-Z000,SGWFF9,TP,,,CHULEEPORN,4604201,2506000048,240,20250619,3480,20250101,20250619,3600,0,EA,F,20250625,
26320,942-31A,20250623,5,Ship,20250623,20250706,2.52E+11,GK0VH,GUEUB,,11353-EW090,SGWFF9,TP,,,CHULEEPORN,4604201,2506000048,240,20250619,3480,20250101,20250619,3600,0,EA,F,20250626,
26320,942-31A,20250623,5,Ship,20250623,20250706,2.52E+11,GK0VH,GUEUB,,11353-EW090-CO,SGWFF9,TP,,,CHULEEPORN,4604201,2506000048,240,20250619,3480,20250101,20250619,3600,0,EA,F,20250627,
26320,942-31A,20250623,5,Ship,20250623,20250706,2.52E+11,GK0VH,GUEUB,,11353-EW090-FI,SGWFF9,TP,,,CHULEEPORN,4604201,2506000048,240,20250619,3480,20250101,20250619,3600,0,EA,F,20250628,
26320,942-31A,20250623,5,Ship,20250623,20250706,2.52E+11,GK0VH,GUEUB,,11353-EW090-MC,SGWFF9,TP,,,CHULEEPORN,4604201,2506000048,240,20250619,3480,20250101,20250619,3600,0,EA,F,20250629,
26320,942-31A,20250623,5,Ship,20250623,20250706,2.52E+11,GK0VH,GUEUB,,11353-EW100,SGWFF9,TP,,,CHULEEPORN,4604201,2506000048,240,20250619,3480,20250101,20250619,3600,0,EA,F,20250630,
26320,942-31A,20250623,5,Ship,20250623,20250706,2.52E+11,GK0VH,GUEUB,,11353-EW100-CO,SGWFF9,TP,,,CHULEEPORN,4604201,2506000048,240,20250619,3480,20250101,20250619,3840,240,EA,F,20250701,
26320,942-31A,20250623,5,Ship,20250623,20250706,2.52E+11,GK0VH,GUEUB,,11353-EW100-FI,SGWFF9,TP,,,CHULEEPORN,4604201,2506000048,240,20250619,3480,20250101,20250619,3840,0,EA,F,20250702,
